CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
8,23,-1,0,-1,46.4286,-1,7,25.75,0.884991,0,-1,34.4286,-1,7,25,-1,0,-1,34.5714,-1,8,20.8,0.951472,1,-1,20.4286,-1,13,9,0.765208,1,-1,32.2857,-1,11,18.2,-1,1,-1,8.28571,-1,3,23.5,-1,0,-1,61.4286,-1,6,23,-1,0,-1,60.1429,-1,7,29.25,0.480054,1,-1,22.8571,-1,11,24.8333,-1,0,-1,8.14286,-1,
8,23,0.489981,0,-1,46.4286,-1,8,16,-1,1,-1,32.4286,-1,7,25,-1,0,-1,34.5714,-1,8,20.8,0.581761,0,-1,20.4286,-1,13,9,-1,0,-1,32.2857,-1,11,18.2,-1,0,-1,8.28571,-1,4,28.6667,-1,1,-1,36.5714,-1,6,23,-1,0,-1,60.1429,-1,7,29.25,-1,0,-1,22.8571,-1,12,20.3333,0.419564,1,-1,5.57143,-1,
8,23,0.894305,0,0.985,46.4286,1,9,6.75,-1,1,0.78,30.4286,1,7,25,-1,0,0.8625,34.5714,1,8,20.8,0.995755,0,0.5375,20.4286,0.894737,13,9,-1,0,0.6875,32.2857,0.947368,11,18.2,-1,0,0.935,8.28571,1,4,28.6667,-1,0,0.9625,36.5714,1,6,23,-1,0,0.995,60.1429,1,7,29.25,-1,0,1,22.8571,1,12,20.3333,-1,0,0.87,5.57143,1,
8,23,0.274999,0,-1,46.4286,-1,9,6.75,0.766235,0,-1,30.4286,-1,7,25,0.300279,0,-1,34.5714,-1,8,20.8,0.96637,0,-1,20.4286,-1,13,9,-1,0,-1,32.2857,-1,11,18.2,-1,0,-1,8.28571,-1,5,31.25,-1,1,-1,24,-1,6,23,0.651685,0,-1,60.1429,-1,7,29.25,-1,0,-1,22.8571,-1,12,20.3333,-1,0,-1,5.57143,-1,
9,27,0.872917,1,-1,34.1429,-1,9,6.75,0.930038,0,-1,30.4286,-1,8,17.25,0.69775,1,-1,32.8571,-1,8,20.8,0.384047,0,-1,20.4286,-1,13,9,0.590195,0,-1,32.2857,-1,11,18.2,0.931873,0,-1,8.28571,-1,5,31.25,-1,0,-1,24,-1,6,23,-1,0,-1,60.1429,-1,7,29.25,0.457834,0,-1,22.8571,-1,13,16,0.520151,1,-1,4.28571,-1,
10,24.2,-1,1,-1,34.1429,-1,10,13.6,-1,1,-1,5.85714,-1,8,17.25,-1,0,-1,32.8571,-1,8,20.8,0.990396,0,-1,20.4286,-1,14,9,0.840291,1,-1,32.2857,-1,11,18.2,-1,0,-1,8.28571,-1,5,31.25,-1,0,-1,24,-1,6,23,-1,0,-1,60.1429,-1,7,29.25,-1,0,-1,22.8571,-1,14,11,0.573701,1,-1,3.57143,-1,
10,24.2,-1,0,-1,34.1429,-1,10,13.6,-1,0,-1,5.85714,-1,8,17.25,-1,0,-1,32.8571,-1,8,20.8,-1,0,-1,20.4286,-1,15,9,0.637345,1,-1,32.2857,-1,11,18.2,0.471237,0,-1,8.28571,-1,5,31.25,-1,0,-1,24,-1,6,23,-1,0,-1,60.1429,-1,7,29.25,-1,0,-1,22.8571,-1,14,11,-1,0,-1,3.57143,-1,
10,24.2,-1,0,0.965,34.1429,1,10,13.6,-1,0,0.78,5.85714,1,8,17.25,0.742759,0,0.815,32.8571,1,8,20.8,0.974941,0,0.5375,20.4286,0.894737,15,9,0.410052,0,0.6875,32.2857,0.947368,11,18.2,0.918087,0,0.935,8.28571,1,5,31.25,-1,0,0.9625,24,1,7,22.5,-1,1,0.8025,59.8571,0.894737,7,29.25,-1,0,1,22.8571,1,14,11,-1,0,0.76,3.57143,0.894737,
11,17.6,-1,1,-1,33,-1,10,13.6,0.79424,0,-1,5.85714,-1,9,16.5,-1,1,-1,32.8571,-1,8,20.8,-1,0,-1,20.4286,-1,15,9,0.610742,0,-1,32.2857,-1,11,18.2,-1,0,-1,8.28571,-1,5,31.25,0.348904,0,-1,24,-1,7,22.5,-1,0,-1,59.8571,-1,7,29.25,-1,0,-1,22.8571,-1,14,11,-1,0,-1,3.57143,-1,
12,17.4,0.572599,1,-1,32.8571,-1,10,13.6,0.886743,0,-1,5.85714,-1,9,16.5,-1,0,-1,32.8571,-1,8,20.8,-1,0,-1,20.4286,-1,16,9,0.926082,1,-1,32.2857,-1,12,16.6,0.842456,1,-1,7.57143,-1,6,32.8,0.268686,1,-1,23.4286,-1,7,22.5,-1,0,-1,59.8571,-1,7,29.25,-1,0,-1,22.8571,-1,14,11,-1,0,-1,3.57143,-1,
