CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
12,19.25,0.919164,1,-1,20.4286,-1,10,18.5,-1,1,-1,21.2857,-1,9,16.6667,0.497762,0,-1,47,-1,9,25,-1,0,-1,10.7143,-1,12,24.4,-1,0,-1,10,-1,8,29.2,0.190161,0,-1,35.5714,-1,9,25,-1,0,-1,48.4286,-1,14,18.4,-1,0,-1,9.85714,-1,10,30.8,-1,0,-1,25,-1,10,21.25,-1,1,-1,22.4286,-1,
12,19.25,0.178841,0,-1,20.4286,-1,10,18.5,-1,0,-1,21.2857,-1,9,16.6667,-1,0,-1,47,-1,9,25,-1,0,-1,10.7143,-1,12,24.4,-1,0,-1,10,-1,8,29.2,0.178256,0,-1,35.5714,-1,9,25,-1,0,-1,48.4286,-1,14,18.4,0.926945,0,-1,9.85714,-1,11,29.6,0.589153,1,-1,24.4286,-1,10,21.25,-1,0,-1,22.4286,-1,
13,19.25,0.924039,1,0.7625,20.4286,0.894737,10,18.5,-1,0,0.895,21.2857,1,9,16.6667,-1,0,0.9125,47,1,9,25,-1,0,0.925,10.7143,1,13,18.8,-1,1,0.9575,9.14286,1,8,29.2,-1,0,0.985,35.5714,1,9,25,-1,0,0.955,48.4286,1,15,18.2,-1,1,0.9675,9.71429,1,11,29.6,-1,0,0.9925,24.4286,1,10,21.25,-1,0,0.995,22.4286,1,
13,19.25,-1,0,-1,20.4286,-1,10,18.5,-1,0,-1,21.2857,-1,9,16.6667,-1,0,-1,47,-1,9,25,-1,0,-1,10.7143,-1,14,22.8333,-1,1,-1,8.57143,-1,8,29.2,-1,0,-1,35.5714,-1,10,29,-1,1,-1,23.8571,-1,16,17,-1,1,-1,9.14286,-1,11,29.6,-1,0,-1,24.4286,-1,11,20.25,0.667974,1,-1,21.5714,-1,
14,19.25,-1,1,-1,20.4286,-1,10,18.5,-1,0,-1,21.2857,-1,9,16.6667,-1,0,-1,47,-1,9,25,-1,0,-1,10.7143,-1,14,22.8333,0.803014,0,-1,8.57143,-1,8,29.2,-1,0,-1,35.5714,-1,10,29,-1,0,-1,23.8571,-1,16,17,-1,0,-1,9.14286,-1,11,29.6,-1,0,-1,24.4286,-1,11,20.25,0.428915,0,-1,21.5714,-1,
15,19.25,0.908895,1,-1,20.4286,-1,10,18.5,-1,0,-1,21.2857,-1,10,22.25,-1,1,-1,22.1429,-1,9,25,-1,0,-1,10.7143,-1,15,22.8333,0.976218,1,-1,8.57143,-1,8,29.2,-1,0,-1,35.5714,-1,11,31.4,-1,1,-1,11.7143,-1,16,17,-1,0,-1,9.14286,-1,11,29.6,-1,0,-1,24.4286,-1,11,20.25,-1,0,-1,21.5714,-1,
15,19.25,-1,0,-1,20.4286,-1,10,18.5,-1,0,-1,21.2857,-1,10,22.25,-1,0,-1,22.1429,-1,10,23.2,0.482917,1,-1,9.85714,-1,16,22.6667,-1,1,-1,8.28571,-1,9,26.2,-1,1,-1,34.5714,-1,11,31.4,-1,0,-1,11.7143,-1,16,17,0.847994,0,-1,9.14286,-1,11,29.6,0.538926,0,-1,24.4286,-1,12,20.25,0.490784,1,-1,21.5714,-1,
15,19.25,-1,0,0.7625,20.4286,0.894737,10,18.5,-1,0,0.895,21.2857,1,10,22.25,-1,0,0.9125,22.1429,1,10,23.2,-1,0,0.9025,9.85714,1,16,22.6667,-1,0,0.9275,8.28571,1,10,26.2,-1,1,0.8675,34.5714,0.894737,12,29.4,0.779444,1,0.955,11.4286,1,16,17,-1,0,0.9675,9.14286,1,11,29.6,0.312344,0,0.9925,24.4286,1,12,20.25,-1,0,0.995,21.5714,1,
15,19.25,-1,0,-1,20.4286,-1,10,18.5,-1,0,-1,21.2857,-1,10,22.25,-1,0,-1,22.1429,-1,11,23.2,-1,1,-1,9.85714,-1,16,22.6667,-1,0,-1,8.28571,-1,10,26.2,1,0,-1,34.5714,-1,12,29.4,-1,0,-1,11.4286,-1,16,17,-1,0,-1,9.14286,-1,11,29.6,-1,0,-1,24.4286,-1,12,20.25,-1,0,-1,21.5714,-1,
15,19.25,-1,0,-1,20.4286,-1,10,18.5,-1,0,-1,21.2857,-1,10,22.25,-1,0,-1,22.1429,-1,11,23.2,-1,0,-1,9.85714,-1,17,22.6667,-1,1,-1,8.28571,-1,10,26.2,-1,0,-1,34.5714,-1,13,27,-1,1,-1,11,-1,16,17,-1,0,-1,9.14286,-1,11,29.6,-1,0,-1,24.4286,-1,12,20.25,-1,0,-1,21.5714,-1,
